Type d'équipement ;Is Loading Bay Item ;Zone spécifique du quai de chargement ;Nom ;Numéro d'asset ;Fabricant ;Modèle ;Nom de la salle ;Nom de baie ;Slot U ;Nom du châssis ;Module Slot ;Type ;Autre type ;SHORT_NAME ;SERIAL NUMBER ;End_Move_Target ;ASSET_TAG ;ASSET_ID ;Equipement approximé ;Type de puissance ;Puissance nominale (kW);Puissance typique (kW);Puissance spécifiée par l'utilisateur (kW);Facteur de charge (%);Puissance en entrée (kW);Type de phase ;Statut de l'équipement ;Nombre de cordons ;Nombre de cordons connectés ;Nombre de cordons actifs ;Nombre de cordons requis ;Onduleurs (UPS) ;Cordon électrique 1 PDU ;Cordon électrique 1 Prise de courant ;Cordon électrique 1 Socket Circuit ;Cordon électrique 2 PDU ;Cordon électrique 2 Prise de courant ;Cordon électrique 1 Alimentation électrique ;Cordon électrique 1 Type de prise ;Cordon électrique 3 PDU ;Cordon électrique 3 Prise de courant ;Cordon électrique 2 Socket Circuit ;Cordon électrique 1 Disjoncteur ;Cordon électrique 1 Socket Phase ;Cordon électrique 4 PDU ;Cordon électrique 4 Prise de courant ;Cordon électrique 2 Type de prise ;Cordon électrique 2 Alimentation électrique ;Cordon électrique 2 Disjoncteur ;Cordon électrique 2 Socket Phase ;Etat d'installation ;Date d'installation (dd/mm/yyyy);Cordon électrique 3 Alimentation électrique ;Cordon électrique 3 Disjoncteur ;Date de décommissionnement (dd/mm/yyyy);Repérage ID ;Cordon électrique 4 Alimentation électrique ;Cordon électrique 4 Disjoncteur ;Montage ;Sens de montage ;Style de montage ;LONG_NAME ;Lames installées ;Allée ;Cage ;Zone ;Hauteur (U);Largeur (m);Profondeur (m);Poids (kg);Synchronisé avec Gateway ;ID Système externe ;ID Système Asset ;ID Système Baie ;ID Système Châssis 
Equipements IT;;;HPC1FN16C;AF209700;HP;ProLiant DL360 G9;PC;PC02-E28;16;;;Serveurs;;HPC1FN16C;CZ3522YY0N;0;AF209700;M-0000698899;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 16;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN16C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136041;123870-97458;
Equipements IT;;;HPC1FN17C;AF209701;HP;ProLiant DL360 G9;PC;PC02-E28;17;;;Serveurs;;HPC1FN17C;CZ3522YY2J;0;AF209701;M-0000698900;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 17;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN17C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136045;123870-97458;
Equipements IT;;;HPC1FN18C;AF209702;HP;ProLiant DL360 G9;PC;PC02-E28;18;;;Serveurs;;HPC1FN18C;CZ3522YY15;0;AF209702;M-0000698901;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 18;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN18C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136049;123870-97458;
Equipements IT;;;HPC1FN19C;AF209703;HP;ProLiant DL360 G9;PC;PC02-E28;19;;;Serveurs;;HPC1FN19C;CZ3522YXYW;0;AF209703;M-0000698902;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 19;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN19C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136053;123870-97458;
Equipements IT;;;HPC1FN20C;AF209704;HP;ProLiant DL360 G9;PC;PC02-E28;20;;;Serveurs;;HPC1FN20C;CZ3522YY0W;0;AF209704;M-0000698903;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 20;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN20C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136057;123870-97458;
Equipements IT;;;HPC1FN21C;AF209705;HP;ProLiant DL360 G9;PC;PC02-E28;21;;;Serveurs;;HPC1FN21C;CZ3522YY01;0;AF209705;M-0000698904;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 21;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN21C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136061;123870-97458;
Equipements IT;;;HPC1FN22C;AF209706;HP;ProLiant DL360 G9;PC;PC02-E28;22;;;Serveurs;;HPC1FN22C;CZ3522YY2D;0;AF209706;M-0000698905;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 22;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN22C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136065;123870-97458;
Equipements IT;;;HPC1FN23C;AF209707;HP;ProLiant DL360 G9;PC;PC02-E28;23;;;Serveurs;;HPC1FN23C;CZ3522YY09;0;AF209707;M-0000698906;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 23;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN23C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136069;123870-97458;
Equipements IT;;;HPC1FN24C;AF209708;HP;ProLiant DL360 G9;PC;PC02-E28;24;;;Serveurs;;HPC1FN24C;CZ3522YY19;0;AF209708;M-0000698907;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 24;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN24C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136073;123870-97458;
Equipements IT;;;HPC1FN25C;AF209709;HP;ProLiant DL360 G9;PC;PC02-E28;25;;;Serveurs;;HPC1FN25C;CZ3522YY89;0;AF209709;M-0000698908;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 25;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN25C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136077;123870-97458;
Equipements IT;;;HPC1FN26C;AF209710;HP;ProLiant DL360 G9;PC;PC02-E28;26;;;Serveurs;;HPC1FN26C;CZ3522YY69;0;AF209710;M-0000698909;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 26;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN26C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136081;123870-97458;
Equipements IT;;;HPC1FN27C;AF209711;HP;ProLiant DL360 G9;PC;PC02-E28;27;;;Serveurs;;HPC1FN27C;CZ3522YY85;0;AF209711;M-0000698910;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 27;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN27C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136085;123870-97458;
Equipements IT;;;HPC1FN28C;AF209712;HP;ProLiant DL360 G9;PC;PC02-E28;28;;;Serveurs;;HPC1FN28C;CZ3522YY87;0;AF209712;M-0000698911;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 28;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN28C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136089;123870-97458;
Equipements IT;;;HPC1FN29C;AF209713;HP;ProLiant DL360 G9;PC;PC02-E28;29;;;Serveurs;;HPC1FN29C;CZ3522YY6Y;0;AF209713;M-0000698912;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 29;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN29C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136093;123870-97458;
Equipements IT;;;HPC1FN30C;AF209714;HP;ProLiant DL360 G9;PC;PC02-E28;30;;;Serveurs;;HPC1FN30C;CZ3522YY0Y;0;AF209714;M-0000698913;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 30;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN30C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136097;123870-97458;
Equipements IT;;;HPC1FN31C;AF209715;HP;ProLiant DL360 G9;PC;PC02-E28;31;;;Serveurs;;HPC1FN31C;CZ3522YY0F;0;AF209715;M-0000698914;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 31;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN31C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136101;123870-97458;
Equipements IT;;;HPC1FN32C;AF209716;HP;ProLiant DL360 G9;PC;PC02-E28;32;;;Serveurs;;HPC1FN32C;CZ3522YY77;0;AF209716;M-0000698915;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 32;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN32C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136105;123870-97458;
Equipements IT;;;HPC1FN33C;AF209717;HP;ProLiant DL360 G9;PC;PC02-E28;33;;;Serveurs;;HPC1FN33C;CZ3522YY11;0;AF209717;M-0000698916;0;Puissance nominale et facteur;0.94;;;50;0.47;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 33;;;Avant;Pas de rotation;Monté(s) en baie;HPC1FN33C;;Cube APC;;;1;0.435;0.75;16.78;;0;798951-136109;123870-97458;
Equipements IT;;;HPC1FN36I;AF209718;Mellanox;SX6036 Front to Rear Cooling;PC;PC02-E28;36;;;Switchs (Commutateurs);;HPC1FN36I;IL250607VS;0;AF209718;M-0000706963;0;Puissance nominale et facteur;0.234;;;50;0.117;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 36;;;Arrière;Pas de rotation;Monté(s) en baie;HPC1FN36I;;Cube APC;;;1;0.428;0.629;9.299;;0;798951-136117;123870-97458;
Equipements IT;;;HPC1FN37M;AF209719;HP;Switch 2530-48 (J9781A) ;PC;PC02-E28;37;;;Switchs (Commutateurs);;HPC1FN37M;CN53FPD2T5;0;AF209719;M-0000698858;0;Puissance nominale et facteur;0.03;;;50;0.015;Monophasé;On;1;1;1;1;Non défini;Supply A;Non défini;;;;Non-connecté;;;;;Non défini;;;;;;;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 37;;;Arrière;Pas de rotation;Monté(s) en baie;HPC1FN37M;;Cube APC;;;1;0.442;0.246;2.86;;0;798951-136121;123870-97458;
Equipements IT;;;HPC1FN38U;AF209720;Cisco;Catalyst 2960-48TC-L;PC;PC02-E28;38;;;Switchs (Commutateurs);;HPC1FN38U;FCW1917A3BP;0;AF209720;M-0000698865;0;Puissance nominale et facteur;0.045;;;50;0.022;Monophasé;On;1;1;1;1;Non défini;Supply A;Non défini;;;;Non-connecté;;;;;Non défini;;;;;;;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 38;;;Arrière;Pas de rotation;Monté(s) en baie;HPC1FN38U;;Cube APC;;;1;0.445;0.236;3.6;;0;798951-136126;123870-97458;
Equipements IT;;;SWC3PCAEBS1-Fex132;AF208718;Cisco;Nexus 2232PP 10GE Fabric Extender;PC;PC02-E28;40;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.39;;;60.6;0.236;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 40;;;Arrière;180 Degree Rotation;Monté(s) en baie;SWC3PCAEBS1-Fex132;;Cube APC;;;1;0.439;0.45;8.3;;0;798951-136132;123870-97458;
Equipements IT;;;PC02-E28:Slot 42;;APC;Ethernet Switch;PC;PC02-E28;42;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.12;;;50;0.06;Monophasé;On;1;1;1;1;Non défini;Supply A;Non défini;;;;Non-connecté;;;;;Non défini;;;;;;;;Installé;2018-04-19T00:00:00.000Z;;;;PC02-E28:Slot 42;;;Arrière;Pas de rotation;Monté(s) en baie;;;Cube APC;;;1;0.428;0.307;3.9;;0;798951-136140;123870-97458;
Equipements IT;;;HPC1EL01C;AF208376;IBM;System x3550 M5;PC;PC20-E27;1;;;Serveurs;;HPC1EL01C;06BFWWW;0;AF208376;M-0000685530;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 01;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL01C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135761;123910-97702;
Equipements IT;;;HPC1EL02C;AF208377;IBM;System x3550 M5;PC;PC20-E27;2;;;Serveurs;;HPC1EL02C;06BFWXD;0;AF208377;M-0000685531;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 02;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL02C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135765;123910-97702;
Equipements IT;;;HPC1EL03C;AF208378;IBM;System x3550 M5;PC;PC20-E27;3;;;Serveurs;;HPC1EL03C;06BFWXF;0;AF208378;M-0000685532;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 03;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL03C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135769;123910-97702;
Equipements IT;;;HPC1EL04C;AF208379;IBM;System x3550 M5;PC;PC20-E27;4;;;Serveurs;;HPC1EL04C;06BFWXB;0;AF208379;M-0000685533;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 04;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL04C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135773;123910-97702;
Equipements IT;;;HPC1EL05C;AF208380;IBM;System x3550 M5;PC;PC20-E27;5;;;Serveurs;;HPC1EL05C;06BFWXL;0;AF208380;M-0000685534;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 05;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL05C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135777;123910-97702;
Equipements IT;;;HPC1EL06C;AF208381;IBM;System x3550 M5;PC;PC20-E27;6;;;Serveurs;;HPC1EL06C;06BFWXK;0;AF208381;M-0000685535;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 06;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL06C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135781;123910-97702;
Equipements IT;;;HPC1EL07C;AF208382;IBM;System x3550 M5;PC;PC20-E27;7;;;Serveurs;;HPC1EL07C;06BFWXG;0;AF208382;M-0000685536;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 07;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL07C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135785;123910-97702;
Equipements IT;;;HPC1EL08C;AF208383;IBM;System x3550 M5;PC;PC20-E27;8;;;Serveurs;;HPC1EL08C;06BFWXC;0;AF208383;M-0000685537;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 08;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL08C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135789;123910-97702;
Equipements IT;;;HPC1EL09C;AF208384;IBM;System x3550 M5;PC;PC20-E27;9;;;Serveurs;;HPC1EL09C;06BFWXE;0;AF208384;M-0000685538;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 09;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL09C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135793;123910-97702;
Equipements IT;;;HPC1EL10C;AF208385;IBM;System x3550 M5;PC;PC20-E27;10;;;Serveurs;;HPC1EL10C;06BFWXM;0;AF208385;M-0000685539;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 10;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL10C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135797;123910-97702;
Equipements IT;;;HPC1EL11C;AF208386;IBM;System x3550 M5;PC;PC20-E27;11;;;Serveurs;;HPC1EL11C;06BFWXT;0;AF208386;M-0000685540;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 11;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL11C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135801;123910-97702;
Equipements IT;;;HPC1EL12C;AF208387;IBM;System x3550 M5;PC;PC20-E27;12;;;Serveurs;;HPC1EL12C;06BFWXN;0;AF208387;M-0000685541;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 12;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL12C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135805;123910-97702;
Equipements IT;;;HPC1EL13C;AF208388;IBM;System x3550 M5;PC;PC20-E27;13;;;Serveurs;;HPC1EL13C;06BFWWR;0;AF208388;M-0000685542;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 13;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL13C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135809;123910-97702;
Equipements IT;;;HPC1EL14C;AF208389;IBM;System x3550 M5;PC;PC20-E27;14;;;Serveurs;;HPC1EL14C;06BFWXA;0;AF208389;M-0000685543;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 14;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL14C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135813;123910-97702;
Equipements IT;;;HPC1EL15C;AF208390;IBM;System x3550 M5;PC;PC20-E27;15;;;Serveurs;;HPC1EL15C;06BFWYD;0;AF208390;M-0000685544;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 15;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL15C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135817;123910-97702;
Equipements IT;;;HPC1EL16C;AF208391;IBM;System x3550 M5;PC;PC20-E27;16;;;Serveurs;;HPC1EL16C;06BFWWP;0;AF208391;M-0000685545;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 16;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL16C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135821;123910-97702;
Equipements IT;;;HPC1EL17C;AF208392;IBM;System x3550 M5;PC;PC20-E27;17;;;Serveurs;;HPC1EL17C;06BFWWX;0;AF208392;M-0000685546;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 17;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL17C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135825;123910-97702;
Equipements IT;;;HPC1EL18C;AF208393;IBM;System x3550 M5;PC;PC20-E27;18;;;Serveurs;;HPC1EL18C;06BFWWY;0;AF208393;M-0000685547;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 18;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL18C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135829;123910-97702;
Equipements IT;;;HPC1EL19C;AF208394;IBM;System x3550 M5;PC;PC20-E27;19;;;Serveurs;;HPC1EL19C;06BFWWZ;0;AF208394;M-0000685548;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 19;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL19C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135833;123910-97702;
Equipements IT;;;HPC1EL20C;AF208395;IBM;System x3550 M5;PC;PC20-E27;20;;;Serveurs;;HPC1EL20C;06BFWXY;0;AF208395;M-0000685549;0;Puissance nominale et facteur;0.9;;;50;0.45;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;PC20-E27:Slot 20;;;Avant;Pas de rotation;Monté(s) en baie;HPC1EL20C;;Cube APC;;;1;0.429;0.734;13.8;;0;798951-135837;123910-97702;
