1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Audit sur site;Notes;Asset_id to Add;Source d'information Asset_id;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;C12:Slot 01;1;Balai Clean;;;P1C12:Slot 01;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;C12;1;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;C12:Slot 02;1;Balai Clean;;;P1C12:Slot 02;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;C12;2;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;C12:Slot 03;1;Balai Clean;;;P1C12:Slot 03;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;C12;3;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;C12:Slot 04;1;Balai Clean;;;P1C12:Slot 04;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;C12;4;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;C12:Slot 05;1;Balai Clean;;;P1C12:Slot 05;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;C12;5;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;C12:Slot 06;1;Balai Clean;;;P1C12:Slot 06;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;C12;6;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;C12:Slot 07;1;Balai Clean;;;P1C12:Slot 07;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;C12;7;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;C12:Slot 08;1;Balai Clean;;;P1C12:Slot 08;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;C12;8;NULL;NULL;;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;C12:Slot 10;1;Balai Clean;;;P1C12:Slot 10;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;C12;10;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;C12:Slot 12;1;Balai Clean;;;P1C12:Slot 12;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;C12;12;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;C12:Slot 14;1;Balai Clean;;;P1C12:Slot 14;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;C12;14;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;C12:Slot 16;1;Balai Clean;;;P1C12:Slot 16;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;C12;16;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;C12:Slot 18;1;Balai Clean;;;P1C12:Slot 18;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;C12;18;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;C12:Slot 20;1;Balai Clean;;;P1C12:Slot 20;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;C12;20;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;C12:Slot 22;1;Balai Clean;;;P1C12:Slot 22;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;C12;22;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;C12:Slot 24;1;Balai Clean;;;P1C12:Slot 24;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;C12;24;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;C12:Slot 26;1;Balai Clean;;;P1C12:Slot 26;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;C12;26;Identifiable;NULL;patch panel;;;;
OmniSwitch 6800-U24 (OS6800-U24);Switch;Alcatel-Lucent;;;;;;;P1;C12:Slot 28;1;Balai Clean;;;P1C12:Slot 28;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;C12;28;Identifiable;NULL;patch panel;;;;
zEnterprise EC12 Type 2827 H43 Z Frame Internals;Server;IBM;;;;;;AF208148;P1;CPU-C2-Z14-1:Slot 01;43;Mainframe;P4;O35;P1CPU-C2-Z14-1:Slot 01;3-Projet AIR22 MF;Commun;NULL;CPU-C2-Z14-1;1;NULL;NULL;;;;;
zEnterprise EC12 Type 2827 H43 A Frame Internals;Server;IBM;;;;;;AF208148;P1;CPU-C2-Z14-2:Slot 01;43;Mainframe;P4;N35;P1CPU-C2-Z14-2:Slot 01;3-Projet AIR22 MF;Commun;NULL;CPU-C2-Z14-2;1;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 12;1;Balai Clean;;;P1D08:Slot 12;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;12;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 14;1;Balai Clean;;;P1D08:Slot 14;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;14;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 16;1;Balai Clean;;;P1D08:Slot 16;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;16;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 18;1;Balai Clean;;;P1D08:Slot 18;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;18;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 20;1;Balai Clean;;;P1D08:Slot 20;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;20;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 22;1;Balai Clean;;;P1D08:Slot 22;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;22;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 24;1;Balai Clean;;;P1D08:Slot 24;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;24;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 26;1;Balai Clean;;;P1D08:Slot 26;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;26;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 28;1;Balai Clean;;;P1D08:Slot 28;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;28;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 30;1;Balai Clean;;;P1D08:Slot 30;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;30;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 32;1;Balai Clean;;;P1D08:Slot 32;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;32;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 34;1;Balai Clean;;;P1D08:Slot 34;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;34;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 36;1;Balai Clean;;;P1D08:Slot 36;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;36;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D08:Slot 38;1;Balai Clean;;;P1D08:Slot 38;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D08;38;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 17;1;Balai Clean;;;P1D16:Slot 17;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;17;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 19;1;Balai Clean;;;P1D16:Slot 19;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;19;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 21;1;Balai Clean;;;P1D16:Slot 21;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;21;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 23;1;Balai Clean;;;P1D16:Slot 23;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;23;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 25;1;Balai Clean;;;P1D16:Slot 25;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;25;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 27;1;Balai Clean;;;P1D16:Slot 27;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;27;NULL;NULL;;;;;
