Modele;Type;Fabricant;LONG_NAME;SHORT_NAME;SERIAL_NUMBER;ASSET_ID;ASSET_TAG;asset_number;Nom_de_la_salle;Reperage_ID_origin;Reperage_ID;End_Move_Target;STATUS_hpe;salle_Dest;Rack_U_Dest;olivier_index;PROJET_Responsable;A_FAIRE_VALIDER;Valide_O_N;AUTRE_PROPOSITION_ou_CONFIRMER;Termine_Oui_Non;Index_CC;from_source;status_CMDB;status_position_cmdb;status_asset_id;status_position;status_name;status_etat;status_global;status_etat_hpe;status_spec;status_cc;status_cc_2;status_cc_3;CMDB_Servers_Status;CMDB_Servers_Owner;Hauteur_U
Virtual Storage Platform DKC F710L-DECO;Serveurs;Hitachi;;0;0;M-0000731315;0;0;P1;50813-2:Slot 01;AF15:Slot 01;Balai Clean;6sigma Hpe;;;P1AF15:Slot 01;2-Exit P1/P2;Fabrice Guermeur;oui;Ok validé par Eric T;;P1AF15:Slot 01;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;Mauvais nom;Installed;Trouvé - bon asset id - KO localisation - Mauvais nom - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;13.0
Virtual Storage Platform DKC F710L-DECO;Serveurs;Hitachi;;0;0;M-0000731315;0;0;P1;50813-2:Slot 15;AF15:Slot 15;Balai Clean;6sigma Hpe;;;P1AF15:Slot 15;2-Exit P1/P2;Fabrice Guermeur;oui;Ok validé par Eric T;;P1AF15:Slot 15;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;Mauvais nom;Installed;Trouvé - bon asset id - KO localisation - Mauvais nom - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;13.0
Virtual Storage Platform DKC F710L-DECO;Serveurs;Hitachi;;0;0;M-0000731315;0;0;P1;50813-2:Slot 29;AF15:Slot 29;Balai Clean;6sigma Hpe;;;P1AF15:Slot 29;2-Exit P1/P2;Fabrice Guermeur;oui;Ok validé par Eric T;;P1AF15:Slot 29;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;Mauvais nom;Installed;Trouvé - bon asset id - KO localisation - Mauvais nom - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;13.0
zEnterprise EC12 Type 2827 H43 Z Frame Internals;Serveurs;IBM;;0;0;M-0000913361;0;0;P1;CPU-C2-Z14-1:Slot 01;AF7:Slot 01;Mainframe;6sigma Hpe;P4;O35;P1AF7:Slot 01;3-Exit P1/P2MF;Bernard Dieticheim;;;;P1AF7:Slot 01;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;Mauvais nom;Installed;Trouvé - bon asset id - KO localisation - Mauvais nom - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;43.0
zEnterprise EC12 Type 2827 H43 A Frame Internals;Serveurs;IBM;;0;0;M-0000913361;0;0;P1;CPU-C2-Z14-2:Slot 01;AF8:Slot 01;Mainframe;6sigma Hpe;P4;N35;P1AF8:Slot 01;3-Exit P1/P2MF;Bernard Dieticheim;;;;P1AF8:Slot 01;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;Mauvais nom;Installed;Trouvé - bon asset id - KO localisation - Mauvais nom - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;43.0
BladeSystem c7000 Enclosure (Fully Loaded);Serveurs;HP;BL601;BL601;GB8950C4CF;M-0000293159;AF046054;AF046054;P1;AG10:Slot 03;AG10:Slot 03;Balai Clean;6sigma Hpe;;;P1AG10:Slot 03;2-Exit P1/P2;Guillaume Bailly;Non;CHASSIS MOVE -> CH145 P3/T27;;P1AG10:Slot 03;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;10.0
SPARC Enterprise T5220;Serveurs;Sun;SU584;SU584AOS;BEL08109DR;M-0000254960;2886801;2886801;P1;AG10:Slot 18;AG10:Slot 18;Balai P1;6sigma Hpe;P3;T17:Slot 30;P1AG10:Slot 18;2-Exit P1/P2;Eric Tormos;Non;;;P1AG10:Slot 18;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;2.0
C170 Email Security Appliance;Stockage;Cisco;GASTRO50;GASTRO50;FCZ1705M024;M-0000637362;AF208133;AF208133;P1;AG10:Slot 38;AG10:Slot 38;Balai P1;6sigma Hpe;P3;T17:Slot 34;P1AG10:Slot 38;2-Exit P1/P2;Fabrice Guermeur;;;;P1AG10:Slot 38;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
SPARC Enterprise T5220;Serveurs;Sun;SU959;SU959;BEL0822LCT;M-0000255349;2886806;2886806;P1;AG11:Slot 18;AG11:Slot 18;Sc5 Clean;6sigma Hpe;;;P1AG11:Slot 18;1-Projet ACN + RNT;Eric Tormos;Oui;;;P1AG11:Slot 18;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Available;Trouvé - bon asset id - Bonne localisation - OK nom_court - Available;Available;NULL;CHIPRE Available;;;;;2.0
SPARC Enterprise T5220;Serveurs;Sun;ASKREN1;ASKREN1;BEL0822LBS;M-0000255483;2886999;2886999;P1;AG11:Slot 21;AG11:Slot 21;Sc4 P2P RN Move;6sigma Hpe;P3;T25:Slot 07;P1AG11:Slot 21;1-Projet ACN + RNT;Eric Tormos;Non;P3_RN_DMZ_TYPE3_RJ45_Patch_Rack_T25 Slot 5-6;;P1AG11:Slot 21;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;2.0
SPARC Enterprise T5220;Serveurs;Sun;KALESH1;KALESH1;BEL0818I42;M-0000255485;2886998;2886998;P1;AG11:Slot 24;AG11:Slot 24;Sc4 P2P RN Move;6sigma Hpe;P3;T25:Slot 09;P1AG11:Slot 24;1-Projet ACN + RNT;Eric Tormos;Non;P3_RN_DMZ_TYPE3_RJ45_Patch_Rack_T25 Slot 7-8;;P1AG11:Slot 24;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;2.0
NetScaler MPX 5500 Load Balancer;Serveurs;Citrix;SATI3;SATI3;AGA2W2AACK;M-0000638477;AF208145;AF208145;P1;AG11:Slot 26;AG11:Slot 26;Sc4 P2P RN Move;6sigma Hpe;P3;T25:Slot 22;P1AG11:Slot 26;1-Projet ACN + RNT;Eric Tormos;Non;PB_RN_DMZ_TYPE3_RJ45_Patch_Rack_Y03 Slot 12-12;;P1AG11:Slot 26;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
VCS Video Communication Server;Serveurs;Tandberg;VCC2VCS2;0;0;M-0000905973;0;0;P1;AG11:Slot 28;AG11:Slot 28;Balai P1;6sigma Hpe;P3;T16:Slot 23;P1AG11:Slot 28;2-Exit P1/P2;;;;;P1AG11:Slot 28;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;Mauvais nom;Installed;Trouvé - bon asset id - Bonne localisation - Mauvais nom - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
Firewall Enterprise Appliance S2008;Routeurs;McAfee;NIKITINE1;NIKITINE1;H044410131;M-0000654631;AF208223;AF208223;P1;AG12:Slot 25;AG12:Slot 25;Sc5 Clean;6sigma Hpe;;;P1AG12:Slot 25;1-Projet ACN + RNT;?;;;;P1AG12:Slot 25;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Available;Trouvé - bon asset id - Bonne localisation - OK nom_court - Available;Available;NULL;CHIPRE Available;;;;;1.0
550 Network Identity Appliance;Serveurs;Infoblox;IBLOXREP;IBLOXREP;8,30E+14;M-0000656311;AF209195;AF209195;P1;AG12:Slot 26;AG12:Slot 26;Balai P1;6sigma Hpe;P4;AE18:Slot 26;P1AG12:Slot 26;2-Exit P1/P2;?;;;;P1AG12:Slot 26;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
Proliant DL580 G8;Serveurs;HP;HANA02-PB027;S0632AOS;CZJ41802G7;M-0000657173;AF209210;AF209210;P1;HANAP1R1-SW1:Slot 01;C21:Slot 01;Balai Clean;Clean réalisé;;;P1C21:Slot 01;2-Exit P1/P2;Claire Romelot;Oui;Ok validé par Eric T;;P1C21:Slot 01;6SIGMA;KO;KO;Trouvé - bon asset id;KO localisation;nom_court type OLD;Retired;Trouvé - bon asset id - KO localisation - nom_court type OLD - Retired;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;4.0
Proliant DL580 G8;Serveurs;HP;HANA02-PB028;S0633AOS;CZJ418020P;M-0000657306;AF209209;AF209209;P1;HANAP1R1-SW1:Slot 05;C21:Slot 05;Balai Clean;Clean réalisé;;;P1C21:Slot 05;2-Exit P1/P2;Claire Romelot;Oui;Ok validé par Eric T;;P1C21:Slot 05;6SIGMA;KO;KO;Trouvé - bon asset id;KO localisation;nom_court type OLD;Retired;Trouvé - bon asset id - KO localisation - nom_court type OLD - Retired;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;4.0
Proliant DL580 G8;Serveurs;HP;HANA02-PB029;S0634AOS;CZJ41802GC;M-0000659127;AF209208;AF209208;P1;HANAP1R1-SW1:Slot 09;C21:Slot 09;Balai Clean;Clean réalisé;;;P1C21:Slot 09;2-Exit P1/P2;Claire Romelot;Oui;Ok validé par Eric T;;P1C21:Slot 09;6SIGMA;KO;KO;Trouvé - bon asset id;KO localisation;nom_court type OLD;Retired;Trouvé - bon asset id - KO localisation - nom_court type OLD - Retired;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;4.0
Proliant DL580 G8;Serveurs;HP;HANA02-PB042;S0684AOS;CZJ41802G8;M-0000660265;AF209207;AF209207;P1;HANAP1R1-SW1:Slot 13;C21:Slot 13;Balai Clean;Clean réalisé;;;P1C21:Slot 13;2-Exit P1/P2;Claire Romelot;Oui;Ok validé par Eric T;;P1C21:Slot 13;6SIGMA;KO;KO;Trouvé - bon asset id;KO localisation;nom_court type OLD;Retired;Trouvé - bon asset id - KO localisation - nom_court type OLD - Retired;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;4.0
